model,L,T,accuracy
vgg16,8,2,(86.62, 5.5159)
vgg16,8,4,(93.46, 11.1643)
vgg16,8,8,(95.02, 22.4015)
vgg16,8,16,(95.56, 44.3756)
vgg16,8,32,(95.72, 86.7832)
vgg16,8,64,(95.73, 170.5974)
resnet18,8,2,(88.7, 6.0239)
resnet18,8,4,(92.76, 11.6371)
resnet18,8,8,(95.28, 21.6575)
resnet18,8,16,(96.04, 41.0491)
resnet18,8,32,(96.41, 79.7436)
resnet18,8,64,(96.46, 157.1565)
resnet20,8,2,(56.94, 9.0321)
resnet20,8,4,(74.76, 17.2203)
resnet20,8,8,(88.03, 32.7797)
resnet20,8,16,(92.53, 63.5673)
resnet20,8,32,(93.31, 125.0633)
resnet20,8,64,(93.43, 247.8999)
